,time,value
91,2021050419,48.769997
92,2021050420,65.57
93,2021050421,75.840004
94,2021050422,78.58
95,2021050423,89.09
96,2021050500,97.29
97,2021050501,96.909996
98,2021050502,96.52
99,2021050503,95.49
100,2021050504,93.30712
101,2021050505,91.53081
102,2021050506,88.049416
103,2021050507,80.69091
104,2021050508,67.40461
105,2021050509,65.05962
106,2021050510,62.457886
107,2021050511,66.78417
108,2021050512,69.844
109,2021050513,71.0368
110,2021050514,69.19505
111,2021050515,64.28187
112,2021050516,56.739964
113,2021050517,56.078316
114,2021050518,58.207096
115,2021050519,56.83936
116,2021050520,65.9393
117,2021050521,73.52403
118,2021050522,79.845505
119,2021050523,86.64774
120,2021050600,99.84
121,2021050601,98.49
122,2021050602,97.71
123,2021050603,95.44
124,2021050604,93.42
125,2021050605,89.9
126,2021050606,77.13
127,2021050607,60.78
128,2021050608,50.989998
129,2021050609,56.71
130,2021050610,59.929996
131,2021050611,61.96
132,2021050612,74.9
133,2021050613,73.060005
134,2021050614,69.86
135,2021050615,60.16
136,2021050616,59.89
137,2021050617,62.14
138,2021050618,54.640003
139,2021050619,61.05
140,2021050620,77.64
141,2021050621,83.05
142,2021050622,91.670006
143,2021050623,98.61
144,2021050700,97.89
145,2021050701,98.090004
146,2021050702,97.26
147,2021050703,94.52
148,2021050704,92.53999
149,2021050705,89.009995
150,2021050706,80.73
151,2021050707,64.29
152,2021050708,48.07
153,2021050709,54.16
154,2021050710,59.72
155,2021050711,60.530003
156,2021050712,75.52
157,2021050713,74.46
158,2021050714,63.780003
159,2021050715,62.15
160,2021050716,62.71
161,2021050717,63.77
162,2021050718,47.37
163,2021050719,54.05
164,2021050720,76.93
165,2021050721,81.89
166,2021050722,87.31
167,2021050723,95.840004
168,2021050800,100.2
169,2021050801,101.5
170,2021050802,99.14
171,2021050803,96.68
172,2021050804,94.049995
173,2021050805,92.85999
174,2021050806,89.259995
175,2021050807,88.16
176,2021050808,83.079994
177,2021050809,77.57
178,2021050810,74.28
179,2021050811,67.08
180,2021050812,61.82
181,2021050813,66.73
182,2021050814,68.46
183,2021050815,57.55
184,2021050816,59.829998
185,2021050817,58.149998
186,2021050818,57.789997
187,2021050819,87.15
188,2021050820,79.88
189,2021050821,80.55
190,2021050822,86.88
191,2021050823,96.88
192,2021050900,99.81999
193,2021050901,101.95999
194,2021050902,102.98
195,2021050903,100.55
196,2021050904,98.869995
197,2021050905,103.1
198,2021050906,102.049995
199,2021050907,99.56
200,2021050908,93.767784
201,2021050909,84.91988
202,2021050910,79.640656
203,2021050911,78.25557
204,2021050912,76.11054
205,2021050913,75.528465
206,2021050914,72.534615
207,2021050915,74.30929
208,2021050916,66.25901
209,2021050917,65.05483
210,2021050918,63.025646
211,2021050919,65.91298
212,2021050920,69.63582
213,2021050921,76.835686
214,2021050922,80.31178
215,2021050923,93.4187
216,2021051000,101.29362
217,2021051001,104.72791
218,2021051002,107.73694
219,2021051003,104.29734
220,2021051004,104.155045
221,2021051005,100.76692
222,2021051006,99.47794
223,2021051007,88.075226
224,2021051008,76.175255
225,2021051009,69.90014
226,2021051010,62.967236
227,2021051011,65.17149
228,2021051012,69.22029
229,2021051013,71.69701
230,2021051014,72.09478
231,2021051015,70.68113
232,2021051016,60.571987
233,2021051017,58.33189
234,2021051018,57.013092
235,2021051019,57.404655
236,2021051020,65.13229
237,2021051021,71.53945
238,2021051022,77.66652
239,2021051023,83.99116
240,2021051100,99.22
241,2021051101,98.03999
242,2021051102,98.25
243,2021051103,92.89
244,2021051104,91.95999
245,2021051105,88.329994
246,2021051106,59.85
247,2021051107,22.890001
248,2021051108,62.62
249,2021051109,52.42
250,2021051110,55.999996
251,2021051111,71.340004
252,2021051112,75.840004
253,2021051113,72.04
254,2021051114,67.1
255,2021051115,67.340004
256,2021051116,61.64
257,2021051117,60.43
258,2021051118,51.789997
259,2021051119,60.76
260,2021051120,78.15
261,2021051121,83.06
262,2021051122,88.96
263,2021051123,95.71
264,2021051200,96.99999
265,2021051201,96.59999
266,2021051202,95.96999
267,2021051203,94.67999
268,2021051204,91.979996
269,2021051205,88.810005
270,2021051206,77.82
271,2021051207,64.24
272,2021051208,52.35
273,2021051209,55.269997
274,2021051210,56.889996
275,2021051211,68.25
276,2021051212,75.11
277,2021051213,73.72
278,2021051214,69.65
279,2021051215,58.679996
280,2021051216,64.01
281,2021051217,63.409996
282,2021051218,54.51
283,2021051219,56.3
284,2021051220,80.92
285,2021051221,84.74
286,2021051222,89.63
287,2021051223,98.340004
288,2021051300,100.3
289,2021051301,100.17999
290,2021051302,100.03999
291,2021051303,94.81999
292,2021051304,93.10999
293,2021051305,88.75
294,2021051306,79.02
295,2021051307,64.23
296,2021051308,55.109997
297,2021051309,58.39
298,2021051310,58.1
299,2021051311,71.91
300,2021051312,76.03
301,2021051313,74.03
302,2021051314,70.97
303,2021051315,63.27
304,2021051316,60.0
305,2021051317,61.34
306,2021051318,43.87
307,2021051319,59.25
308,2021051320,91.77
309,2021051321,84.060005
310,2021051322,89.72
311,2021051323,97.98
312,2021051400,99.62
313,2021051401,97.42999
314,2021051402,98.329994
315,2021051403,93.549995
316,2021051404,92.31999
317,2021051405,88.84
318,2021051406,78.89
319,2021051407,67.14
320,2021051408,60.52
321,2021051409,65.0
322,2021051410,59.85
323,2021051411,72.5
324,2021051412,75.21
325,2021051413,71.380005
326,2021051414,62.86
327,2021051415,59.42
328,2021051416,62.6
329,2021051417,62.77
330,2021051418,46.64
331,2021051419,48.35
332,2021051420,76.299995
333,2021051421,82.56
334,2021051422,86.399994
335,2021051423,95.89
336,2021051500,98.759995
337,2021051501,99.67
338,2021051502,98.55999
339,2021051503,97.229996
340,2021051504,93.07
341,2021051505,93.16
342,2021051506,92.59
343,2021051507,89.72
344,2021051508,81.259995
345,2021051509,78.71
346,2021051510,74.35
347,2021051511,76.119995
348,2021051512,67.96
349,2021051513,52.670002
350,2021051514,56.94
351,2021051515,52.050003
352,2021051516,58.48
353,2021051517,55.59
354,2021051518,69.36
355,2021051519,78.64
356,2021051520,77.14
357,2021051521,78.64
358,2021051522,85.68
359,2021051523,88.36
360,2021051600,88.549995
361,2021051601,95.66
362,2021051602,92.35
363,2021051603,89.909996
364,2021051604,83.93
365,2021051605,89.52999
366,2021051606,90.78
367,2021051607,92.60999
368,2021051608,91.9
369,2021051609,84.51
370,2021051610,83.700005
371,2021051611,81.89
372,2021051612,79.33
373,2021051613,78.21
374,2021051614,76.659996
375,2021051615,71.22
376,2021051616,72.39
377,2021051617,79.34
378,2021051618,76.270004
379,2021051619,77.23
380,2021051620,80.26
381,2021051621,83.06
382,2021051622,87.7
383,2021051623,93.96
384,2021051700,96.020004
385,2021051701,94.88999
386,2021051702,90.78
